unit_id	page	paragraph	line	token_index	eva
f47v-p1-u001	f47v	1	1	1	psheot
f47v-p1-u002	f47v	1	1	2	cheor
f47v-p1-u003	f47v	1	1	3	cholsho
f47v-p1-u004	f47v	1	1	4	chopchy
f47v-p1-u005	f47v	1	1	5	sal
f47v-p1-u006	f47v	1	1	6	sary
f47v-p1-u007	f47v	1	2	1	dsheey
f47v-p1-u008	f47v	1	2	2	shy
f47v-p1-u009	f47v	1	2	3	cphy
f47v-p1-u010	f47v	1	2	4	otchey
f47v-p1-u011	f47v	1	2	5	daiidy
f47v-p1-u012	f47v	1	2	6	chory
f47v-p1-u013	f47v	1	2	7	daiiy
f47v-p1-u014	f47v	1	3	1	shol
f47v-p1-u015	f47v	1	3	2	char
f47v-p1-u016	f47v	1	3	3	oteol
f47v-p1-u017	f47v	1	3	4	dor
f47v-p1-u018	f47v	1	3	5	otchol
f47v-p1-u019	f47v	1	3	6	chkchy
f47v-p1-u020	f47v	1	3	7	daiin
f47v-p1-u021	f47v	1	4	1	qotol
f47v-p1-u022	f47v	1	4	2	sheey
f47v-p1-u023	f47v	1	4	3	kol
f47v-p1-u024	f47v	1	4	4	sho
f47v-p1-u025	f47v	1	4	5	keechy
f47v-p1-u026	f47v	1	4	6	qoty
f47v-p1-u027	f47v	1	4	7	cthy
f47v-p1-u028	f47v	1	5	1	dsholy
f47v-p1-u029	f47v	1	5	2	shees
f47v-p1-u030	f47v	1	5	3	chor
f47v-p1-u031	f47v	1	5	4	ody
f47v-p1-u032	f47v	1	5	5	shy
f47v-p1-u033	f47v	1	5	6	sy
f47v-p1-u034	f47v	1	5	7	sary
f47v-p1-u035	f47v	1	6	1	chody
f47v-p1-u036	f47v	1	6	2	cheor
f47v-p1-u037	f47v	1	6	3	saiin
f47v-p1-u038	f47v	1	6	4	dochod
f47v-p1-u039	f47v	1	6	5	chol
f47v-p1-u040	f47v	1	7	1	pchodaiin
f47v-p1-u041	f47v	1	7	2	dair
f47v-p1-u042	f47v	1	7	3	dcthy
f47v-p1-u043	f47v	1	8	1	daiin
f47v-p1-u044	f47v	1	8	2	cheotar
f47v-p1-u045	f47v	1	8	3	chodaly
f47v-p1-u046	f47v	1	8	4	sal
f47v-p1-u047	f47v	1	9	1	qotcheea
f47v-p1-u048	f47v	1	9	2	chety
f47v-p1-u049	f47v	1	9	3	chol
f47v-p1-u050	f47v	1	9	4	chol
f47v-p1-u051	f47v	1	9	5	dain
f47v-p1-u052	f47v	1	10	1	chotcho
f47v-p1-u053	f47v	1	10	2	ltchey
f47v-p1-u054	f47v	1	10	3	o
f47v-p1-u055	f47v	1	10	4	tcho
f47v-p1-u056	f47v	1	10	5	tchy
f47v-p1-u057	f47v	1	10	6	dy
f47v-p1-u058	f47v	1	10	7	chol
f47v-p1-u059	f47v	1	10	8	chody
f47v-p1-u060	f47v	1	10	9	dar
f47v-p1-u061	f47v	1	11	1	oteey
f47v-p1-u062	f47v	1	11	2	cho
f47v-p1-u063	f47v	1	11	3	chdy
f47v-p1-u064	f47v	1	11	4	chy
f47v-p1-u065	f47v	1	11	5	key
f47v-p1-u066	f47v	1	11	6	chyky
f47v-p1-u067	f47v	1	11	7	dchy
f47v-p1-u068	f47v	1	11	8	daiin
f47v-p1-u069	f47v	1	11	9	chy
f47v-p1-u070	f47v	1	12	1	cho
f47v-p1-u071	f47v	1	12	2	cho
f47v-p1-u072	f47v	1	12	3	keesy
f47v-p1-u073	f47v	1	12	4	chy
f47v-p1-u074	f47v	1	12	5	chy
f47v-p1-u075	f47v	1	12	6	cheky
f47v-p1-u076	f47v	1	12	7	chochy
f47v-p1-u077	f47v	1	12	8	daiin
f47v-p1-u078	f47v	1	13	1	dshy
f47v-p1-u079	f47v	1	13	2	daiin
f47v-p1-u080	f47v	1	13	3	chdlcty
f47v-p1-u081	f47v	1	13	4	chaiin
f47v-p1-u082	f47v	1	13	5	dcheey
f47v-p1-u083	f47v	1	13	6	otald
f47v-p1-u084	f47v	1	14	1	chol
f47v-p1-u085	f47v	1	14	2	ctchey
