id	table	status	signature_key	learned_sequence	current_count	current_total	dominant_count	dominant_sequence	sample_image_id	sample_id	updated_at	note
6	molecule_order_patterns	ok	a:1+a:1+b:1+c:1|e:1+f:1|e:1+h:1|f:1+j:1	e:1+h:1#1 a:1+a:1+b:1+c:1#1 e:1+f:1#1 f:1+j:1#1	1	1	1	e:1+h:1#1 a:1+a:1+b:1+c:1#1 e:1+f:1#1 f:1+j:1#1	3	img3-m9	2026-07-09 21:46:32
8	molecule_order_patterns	ok	d:1+f:1+i:1|e:1+f:1	e:1+f:1 d:1+f:1+i:1	3	3	3	e:1+f:1 d:1+f:1+i:1	3	img3-m5	2026-07-09 04:24:27
9	molecule_order_patterns	ok	a:1+a:1+b:1+c:1+e:1|d:1+f:1+i:1+k:1|e:1+f:1|e:1+h:1	e:1+h:1 a:1+a:1+b:1+c:1+e:1 e:1+f:1 d:1+f:1+i:1+k:1	1	1	1	e:1+h:1 a:1+a:1+b:1+c:1+e:1 e:1+f:1 d:1+f:1+i:1+k:1	3	img3-m6	2026-07-09 04:25:20
50	molecule_order_patterns	ok	a:1+a:1+b:1+c:1+e:1+e:1+e:1+g:1|d:1+e:1+i:1|d:1+e:1+i:1|e:1	a:1+a:1+b:1+c:1+e:1+e:1+e:1+g:1#1 d:1+e:1+i:1#2 e:1#1 d:1+e:1+i:1#1	1	1	1	a:1+a:1+b:1+c:1+e:1+e:1+e:1+g:1#1 d:1+e:1+i:1#2 e:1#1 d:1+e:1+i:1#1	3	img3-m2	2026-07-09 05:05:12
56	molecule_order_patterns	ok	a:1+a:1+b:1+c:1|c:1|d:1+f:1+i:1|e:1+h:1	e:1+h:1 a:1+a:1+b:1+c:1 c:1 d:1+f:1+i:1	1	1	1	e:1+h:1 a:1+a:1+b:1+c:1 c:1 d:1+f:1+i:1	3	img3-m8	2026-07-09 05:02:46
69	molecule_order_patterns	ok	c:1|d:1+e:1+i:1|d:1+f:1+i:1|e:1+h:1	d:1+e:1+i:1#1 c:1#1 d:1+f:1+i:1#1 e:1+h:1#1	1	1	1	d:1+e:1+i:1#1 c:1#1 d:1+f:1+i:1#1 e:1+h:1#1	3	img3-m17	2026-07-09 05:08:02
71	molecule_order_patterns	ok	a:1+a:1+b:1+c:1+e:1+e:1+g:1|d:1+f:1+i:1|e:1+f:1	a:1+a:1+b:1+c:1+e:1+e:1+g:1#1 e:1+f:1#1 d:1+f:1+i:1#1	1	1	1	a:1+a:1+b:1+c:1+e:1+e:1+g:1#1 e:1+f:1#1 d:1+f:1+i:1#1	3	img3-m16	2026-07-09 05:08:42
81	molecule_order_patterns	ok	d:1+f:1+i:1+l:1|e:1+f:1	e:1+f:1#1 d:1+f:1+i:1+l:1#1	1	1	1	e:1+f:1#1 d:1+f:1+i:1+l:1#1	3	img3-m18	2026-07-09 05:12:35
83	molecule_order_patterns	ok	a:1+a:1+b:1+c:1+e:1+e:1+e:1+g:1|d:1+f:1+i:1|e:1+f:1	a:1+a:1+b:1+c:1+e:1+e:1+e:1+g:1#1 e:1+f:1#1 d:1+f:1+i:1#1	1	1	1	a:1+a:1+b:1+c:1+e:1+e:1+e:1+g:1#1 e:1+f:1#1 d:1+f:1+i:1#1	3	img3-m13	2026-07-09 05:15:15
86	molecule_order_patterns	ok	d:1+f:1+i:1+k:1|e:1+f:1	e:1+f:1#1 d:1+f:1+i:1+k:1#1	3	3	3	e:1+f:1#1 d:1+f:1+i:1+k:1#1	3	img3-m22	2026-07-09 05:46:47
90	molecule_order_patterns	ok	c:1|d:1+f:1+i:1	c:1#1 d:1+f:1+i:1#1	8	8	8	c:1#1 d:1+f:1+i:1#1	3	img3-m21	2026-07-09 05:47:46
