token	kind	atom_id	image_name	distance_to_centroid	snapshot_path
a:1	representative	2895	page-094.jpg	6.5340	atoms\a_1\page-094.jpg\2895.svg
a:1	representative	3220	page-003.jpg	6.5370	atoms\a_1\page-003.jpg\3220.svg
a:1	representative	4709	page-004.jpg	6.5544	atoms\a_1\page-004.jpg\4709.svg
a:1	outlier	4678	page-004.jpg	17.1495	atoms\a_1\page-004.jpg\4678.svg
a:1	outlier	4676	page-004.jpg	16.8477	atoms\a_1\page-004.jpg\4676.svg
a:1	outlier	3897	page-003.jpg	15.3116	atoms\a_1\page-003.jpg\3897.svg
b:1	representative	981	page-003.jpg	9.6273	atoms\b_1\page-003.jpg\981.svg
b:1	representative	3397	page-003.jpg	9.7226	atoms\b_1\page-003.jpg\3397.svg
b:1	representative	2070	page-003.jpg	9.7671	atoms\b_1\page-003.jpg\2070.svg
b:1	outlier	4239	page-094.jpg	21.8300	atoms\b_1\page-094.jpg\4239.svg
b:1	outlier	4756	page-004.jpg	20.2494	atoms\b_1\page-004.jpg\4756.svg
b:1	outlier	3788	page-003.jpg	20.1167	atoms\b_1\page-003.jpg\3788.svg
c:1	representative	3179	page-003.jpg	12.6248	atoms\c_1\page-003.jpg\3179.svg
c:1	representative	3189	page-003.jpg	12.6248	atoms\c_1\page-003.jpg\3189.svg
c:1	representative	3274	page-003.jpg	12.6248	atoms\c_1\page-003.jpg\3274.svg
c:1	outlier	2696	page-094.jpg	48.1004	atoms\c_1\page-094.jpg\2696.svg
c:1	outlier	4243	page-094.jpg	32.3739	atoms\c_1\page-094.jpg\4243.svg
c:1	outlier	3356	page-003.jpg	32.3619	atoms\c_1\page-003.jpg\3356.svg
d:1	representative	1109	page-003.jpg	9.8161	atoms\d_1\page-003.jpg\1109.svg
d:1	representative	1996	page-003.jpg	9.8542	atoms\d_1\page-003.jpg\1996.svg
d:1	representative	1215	page-003.jpg	9.9034	atoms\d_1\page-003.jpg\1215.svg
d:1	outlier	3985	page-003.jpg	28.7030	atoms\d_1\page-003.jpg\3985.svg
d:1	outlier	5240	page-004.jpg	24.6190	atoms\d_1\page-004.jpg\5240.svg
d:1	outlier	5253	page-004.jpg	24.4229	atoms\d_1\page-004.jpg\5253.svg
f:1	representative	1254	page-003.jpg	1.5893	atoms\f_1\page-003.jpg\1254.svg
f:1	representative	3182	page-003.jpg	1.5893	atoms\f_1\page-003.jpg\3182.svg
f:1	representative	3188	page-003.jpg	1.5893	atoms\f_1\page-003.jpg\3188.svg
f:1	outlier	999	page-003.jpg	64.1107	atoms\f_1\page-003.jpg\999.svg
f:1	outlier	2514	page-003.jpg	62.7341	atoms\f_1\page-003.jpg\2514.svg
f:1	outlier	1644	page-003.jpg	36.7905	atoms\f_1\page-003.jpg\1644.svg
i:1	representative	1646	page-003.jpg	12.7957	atoms\i_1\page-003.jpg\1646.svg
i:1	representative	1022	page-003.jpg	12.8015	atoms\i_1\page-003.jpg\1022.svg
i:1	representative	3482	page-003.jpg	12.8682	atoms\i_1\page-003.jpg\3482.svg
i:1	outlier	3290	page-003.jpg	23.6666	atoms\i_1\page-003.jpg\3290.svg
i:1	outlier	4632	page-094.jpg	23.3819	atoms\i_1\page-094.jpg\4632.svg
i:1	outlier	2417	page-003.jpg	22.8675	atoms\i_1\page-003.jpg\2417.svg
e:1	representative	996	page-003.jpg	2.2811	atoms\e_1\page-003.jpg\996.svg
e:1	representative	993	page-003.jpg	2.2811	atoms\e_1\page-003.jpg\993.svg
e:1	representative	1263	page-003.jpg	2.2811	atoms\e_1\page-003.jpg\1263.svg
e:1	outlier	2416	page-003.jpg	38.0996	atoms\e_1\page-003.jpg\2416.svg
e:1	outlier	1944	page-003.jpg	35.1635	atoms\e_1\page-003.jpg\1944.svg
e:1	outlier	2099	page-003.jpg	32.9632	atoms\e_1\page-003.jpg\2099.svg
h:1	representative	3304	page-003.jpg	6.7494	atoms\h_1\page-003.jpg\3304.svg
