page	paragraph	line	locus	marker	source_loci	eva	raw
f1r	1	1	f1r.1,@P0	@P0	f1r.1,@P0	fachys ykal ar ataiin shol shory cthres y kor sholdy	<%>fachys.ykal.ar.ataiin.shol.shory.cthres.y.kor.sholdy
f1r	1	2	f1r.2,+P0	+P0	f1r.2,+P0	sory ckhar or y kair chtaiin shar are cthar cthar dan	sory.ckhar.or.y.kair.chtaiin.shar.are.cthar.cthar.dan
f1r	1	3	f1r.3,+P0	+P0	f1r.3,+P0	syaiir sheky or ykaiin shod cthoary cthes daraiin sa	syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sa
f1r	1	4	f1r.4,+P0	+P0	f1r.4,+P0	ooiin oteey oteos roloty cth?ar daiin otaiin or okan	ooiin.oteey.oteos.roloty.cth?ar.daiin.otaiin.or.okan
f1r	1	5	f1r.5,+P0	+P0	f1r.5,+P0,f1r.6,=Pt	dair y chear cthaiin cphar cfhaiin ydaraishy	dair.y.chear.cthaiin.cphar.cfhaiin.ydaraishy<$>
f1r	2	7	f1r.7,*P0	*P0	f1r.7,*P0	odar o y shol cphoy oydar sh s cfhoaiin shodary	<%>?.odar.o.y.shol.cphoy.oydar.sh.s.cfhoaiin.shodary
f1r	2	8	f1r.8,+P0	+P0	f1r.8,+P0	yshey shody okchoy otchol chocthy oschy dain chor kos	yshey.shody.okchoy.otchol.chocthy.oschy.dain.chor.kos
f1r	2	9	f1r.9,+P0	+P0	f1r.9,+P0,f1r.10,=Pt	daiin shos cfhol shody dain os teody	daiin.shos.cfhol.shody.dain.os.teody<$>
f1r	3	11	f1r.11,*P0	*P0	f1r.11,*P0	ydain cphesaiin ol s cphey ytain shoshy cphodales	<%>?.ydain.cphesaiin.ol.s.cphey.ytain.shoshy.cphodales
f1r	3	12	f1r.12,+P0	+P0	f1r.12,+P0	oksho kshoy otairin oteol okan shodain sckhey daiin	oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin
f1r	3	13	f1r.13,+P0	+P0	f1r.13,+P0	shoy ckhey kodaiin cphy cphodaiils cthey she oldain d	shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.she.oldain.d
f1r	3	14	f1r.14,+P0	+P0	f1r.14,+P0	dain oiin chol odaiin chodain chdy okain dan cthy kod	dain.oiin.chol.odaiin.chodain.chdy.okain.dan.cthy.kod
f1r	3	15	f1r.15,+P0	+P0	f1r.15,+P0	daiin shckhey ckeor chor shey kol chol chol kor chal	daiin.shckhey.ckeor.chor.shey.kol.chol.chol.kor.chal
f1r	3	16	f1r.16,+P0	+P0	f1r.16,+P0	sho chol shodan kshy kchy dor chodaiin sho kchom	sho.chol.shodan.kshy.kchy.dor.chodaiin.sho.kchom
f1r	3	17	f1r.17,+P0	+P0	f1r.17,+P0	ycho tchey chokain sheo pshol dydyd cthy daicthy	ycho.tchey.chokain.sheo.pshol.dydyd.cthy.daicthy
f1r	3	18	f1r.18,+P0	+P0	f1r.18,+P0	yto shol she kodshey cphealy dasain dain ckhyds	yto.shol.she.kodshey.cphealy.dasain.dain.ckhyds
f1r	3	19	f1r.19,+P0	+P0	f1r.19,+P0	dchar shcthaiin okaiir chey rchy potol cthols dlocta	dchar.shcthaiin.okaiir.chey.rchy.potol.cthols.dlocta
f1r	3	20	f1r.20,+P0	+P0	f1r.20,+P0,f1r.21,=Pt	shok chor chey dain ckhey otol daiiin	shok.chor.chey.dain.ckhey.otol.daiiin<$>
f1r	4	22	f1r.22,*P0	*P0	f1r.22,*P0	cpho shaiin shokcheey chol tshodeesy shey pydeey chy ro d?	<%>cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro.d?
f1r	4	23	f1r.23,+P0	+P0	f1r.23,+P0	?doin chol dain cthal dar shear kaiin dar shey cthar	?doin.chol.dain.cthal.dar.shear.kaiin.dar.shey.cthar
f1r	4	24	f1r.24,+P0	+P0	f1r.24,+P0	cho?o kaiin shoaiin okol daiin far cthol daiin ctholdar	cho?o.kaiin.shoaiin.okol.daiin.far.cthol.daiin.ctholdar
f1r	4	25	f1r.25,+P0	+P0	f1r.25,+P0	ycheey okay oky daiin okchey kokaiin ??chol k??chy dal	ycheey.okay.oky.daiin.okchey.kokaiin.??chol.k??chy.dal
f1r	4	26	f1r.26,+P0	+P0	f1r.26,+P0	d?eeo shody koshey cthy okchey keey keey dal chtor	d?eeo.shody.koshey.cthy.okchey.keey.keey.dal.chtor
f1r	4	27	f1r.27,+P0	+P0	f1r.27,+P0,f1r.28,=Pt	?eo chol chok choty chotey dchaiin	?eo.chol.chok.choty.chotey.dchaiin<$>
