page	paragraph	line	locus	marker	source_loci	eva	raw
f1v	1	1	f1v.1,@P0	@P0	f1v.1,@P0	kchsy chadaiin ol oltchey char cfhar am	<%>kchsy.chadaiin.ol<->oltchey.char.cfhar.am
f1v	1	2	f1v.2,+P0	+P0	f1v.2,+P0	yteeay char or ochy dcho lkody okodar chody	yteeay.char.or.ochy<->dcho.lkody.okodar.chody
f1v	1	3	f1v.3,+P0	+P0	f1v.3,+P0	do ckhy ckho ckhy shy dksheey cthy kotchody dal	do.ckhy.ckho.ckhy.shy<->dksheey.cthy.kotchody.dal
f1v	1	4	f1v.4,+P0	+P0	f1v.4,+P0	dol chokeo dair dam sochey chokody	dol.chokeo.dair.dam<->sochey.chokody<$>
f1v	1	5	f1v.5,+P0	+P0	f1v.5,+P0	potoy shol dair cphoal dar chey tody otoaiin shoshy	<%>potoy.shol.dair.cphoal<->dar.chey.tody.otoaiin.shoshy
f1v	1	6	f1v.6,+P0	+P0	f1v.6,+P0	choky chol cthol shol okal dolchey chodo lol chy cthy	choky.chol.cthol.shol.okal<->dolchey.chodo.lol.chy.cthy
f1v	1	7	f1v.7,+P0	+P0	f1v.7,+P0	qo ol choeee cheol dol cthey ykol dol dolo ykol do lchody	qo.ol.choeee.cheol.dol.cthey<->ykol.dol.dolo.ykol.do.lchody
f1v	1	8	f1v.8,+P0	+P0	f1v.8,+P0	okol shol kol kechy chol ky chol cthol chody chol daiin	okol.shol.kol.kechy.chol.ky<->chol.cthol.chody.chol.daiin
f1v	1	9	f1v.9,+P0	+P0	f1v.9,+P0	shor okol chol dol ky dar shol dchor otcho dar shody	shor.okol.chol.dol.ky.dar<->shol.dchor.otcho.dar.shody
f1v	1	10	f1v.10,+P0	+P0	f1v.10,+P0	taor chotchey dal chody schody pol chodar	taor.chotchey.dal.chody<->schody.pol.chodar<$>
