image_name	molecule_id	status	note
page-003.jpg	img3-m37	valid	Inspected manually; current particle order is correct despite left-to-right geometry inversion among low/overlapping e particles.
page-003.jpg	img3-m4	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m15	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m25	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m28	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m47	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m49	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m50	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m57	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m59	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m63	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m66	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m72	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m74	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m79	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m85	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m87	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m89	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m104	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m107	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m110	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m116	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m117	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m119	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m126	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m128	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m138	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m143	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m149	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m151	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m152	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m154	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m165	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m166	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m173	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m189	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-003.jpg	img3-m192	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-004.jpg	img4-m17	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-004.jpg	img4-m21	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-004.jpg	img4-m35	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-004.jpg	img4-m42	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-004.jpg	img4-m43	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-004.jpg	img4-m65	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-004.jpg	img4-m73	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-004.jpg	img4-m81	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-005.jpg	img5-m13	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-005.jpg	img5-m25	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-005.jpg	img5-m34	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-005.jpg	img5-m45	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-005.jpg	img5-m51	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-005.jpg	img5-m52	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-005.jpg	img5-m56	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-005.jpg	img5-m61	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-005.jpg	img5-m66	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-005.jpg	img5-m75	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-005.jpg	img5-m78	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-005.jpg	img5-m79	valid	Same inspected layout as former img5-m78 after the page-005 cut restoration shifted molecule IDs; current particle order is valid despite geometry-order inversion.
page-005.jpg	img5-m82	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-005.jpg	img5-m89	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-005.jpg	img5-m101	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-006.jpg	img6-m8	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-006.jpg	img6-m9	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-006.jpg	img6-m16	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-006.jpg	img6-m23	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-006.jpg	img6-m30	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-006.jpg	img6-m31	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-006.jpg	img6-m53	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-007.jpg	img7-m2	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-007.jpg	img7-m31	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-007.jpg	img7-m39	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-007.jpg	img7-m43	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-007.jpg	img7-m44	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-007.jpg	img7-m50	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-007.jpg	img7-m51	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-007.jpg	img7-m52	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-007.jpg	img7-m57	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-007.jpg	img7-m59	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-007.jpg	img7-m66	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-007.jpg	img7-m73	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-007.jpg	img7-m81	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-007.jpg	img7-m90	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-094.jpg	img94-m1	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-094.jpg	img94-m3	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-094.jpg	img94-m9	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-094.jpg	img94-m13	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-094.jpg	img94-m26	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-094.jpg	img94-m27	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-094.jpg	img94-m30	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-094.jpg	img94-m34	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-094.jpg	img94-m18	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
page-094.jpg	img94-m81	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
