token	kind	atom_id	image_name	distance_to_centroid	snapshot_path
a:1	representative	3220	page-003.jpg	6.5686	atoms\a_1\page-003.jpg\3220.svg
a:1	representative	2895	page-094.jpg	6.5688	atoms\a_1\page-094.jpg\2895.svg
a:1	representative	4709	page-004.jpg	6.5876	atoms\a_1\page-004.jpg\4709.svg
a:1	outlier	5549	page-005.jpg	17.5962	atoms\a_1\page-005.jpg\5549.svg
a:1	outlier	5551	page-005.jpg	17.5567	atoms\a_1\page-005.jpg\5551.svg
a:1	outlier	4678	page-004.jpg	17.2413	atoms\a_1\page-004.jpg\4678.svg
b:1	representative	981	page-003.jpg	10.1282	atoms\b_1\page-003.jpg\981.svg
b:1	representative	3397	page-003.jpg	10.1779	atoms\b_1\page-003.jpg\3397.svg
b:1	representative	5568	page-005.jpg	10.2014	atoms\b_1\page-005.jpg\5568.svg
b:1	outlier	4239	page-094.jpg	21.6584	atoms\b_1\page-094.jpg\4239.svg
b:1	outlier	5570	page-005.jpg	21.1093	atoms\b_1\page-005.jpg\5570.svg
b:1	outlier	4756	page-004.jpg	20.6302	atoms\b_1\page-004.jpg\4756.svg
c:1	representative	3173	page-003.jpg	11.1642	atoms\c_1\page-003.jpg\3173.svg
c:1	representative	3179	page-003.jpg	11.1642	atoms\c_1\page-003.jpg\3179.svg
c:1	representative	3176	page-003.jpg	11.1642	atoms\c_1\page-003.jpg\3176.svg
c:1	outlier	2696	page-094.jpg	49.4342	atoms\c_1\page-094.jpg\2696.svg
c:1	outlier	5621	page-005.jpg	47.7775	atoms\c_1\page-005.jpg\5621.svg
c:1	outlier	5714	page-005.jpg	41.2612	atoms\c_1\page-005.jpg\5714.svg
d:1	representative	6361	page-005.jpg	10.4070	atoms\d_1\page-005.jpg\6361.svg
d:1	representative	2517	page-003.jpg	10.4644	atoms\d_1\page-003.jpg\2517.svg
d:1	representative	6333	page-005.jpg	10.4952	atoms\d_1\page-005.jpg\6333.svg
d:1	outlier	3985	page-003.jpg	29.3802	atoms\d_1\page-003.jpg\3985.svg
d:1	outlier	6325	page-005.jpg	28.3942	atoms\d_1\page-005.jpg\6325.svg
d:1	outlier	6321	page-005.jpg	25.7236	atoms\d_1\page-005.jpg\6321.svg
f:1	representative	1254	page-003.jpg	1.2127	atoms\f_1\page-003.jpg\1254.svg
f:1	representative	3182	page-003.jpg	1.2127	atoms\f_1\page-003.jpg\3182.svg
f:1	representative	3188	page-003.jpg	1.2127	atoms\f_1\page-003.jpg\3188.svg
f:1	outlier	999	page-003.jpg	60.2347	atoms\f_1\page-003.jpg\999.svg
f:1	outlier	2514	page-003.jpg	57.1963	atoms\f_1\page-003.jpg\2514.svg
f:1	outlier	1644	page-003.jpg	36.6600	atoms\f_1\page-003.jpg\1644.svg
i:1	representative	6314	page-005.jpg	12.0559	atoms\i_1\page-005.jpg\6314.svg
i:1	representative	6293	page-005.jpg	12.2095	atoms\i_1\page-005.jpg\6293.svg
i:1	representative	2153	page-003.jpg	12.7143	atoms\i_1\page-003.jpg\2153.svg
i:1	outlier	3290	page-003.jpg	24.1071	atoms\i_1\page-003.jpg\3290.svg
i:1	outlier	2417	page-003.jpg	24.0331	atoms\i_1\page-003.jpg\2417.svg
i:1	outlier	6249	page-005.jpg	23.8991	atoms\i_1\page-005.jpg\6249.svg
e:1	representative	996	page-003.jpg	1.9145	atoms\e_1\page-003.jpg\996.svg
e:1	representative	993	page-003.jpg	1.9145	atoms\e_1\page-003.jpg\993.svg
e:1	representative	1263	page-003.jpg	1.9145	atoms\e_1\page-003.jpg\1263.svg
e:1	outlier	2416	page-003.jpg	41.7227	atoms\e_1\page-003.jpg\2416.svg
e:1	outlier	1944	page-003.jpg	38.8529	atoms\e_1\page-003.jpg\1944.svg
e:1	outlier	2099	page-003.jpg	36.5260	atoms\e_1\page-003.jpg\2099.svg
h:1	representative	3304	page-003.jpg	5.6484	atoms\h_1\page-003.jpg\3304.svg
h:1	representative	3340	page-003.jpg	5.6484	atoms\h_1\page-003.jpg\3340.svg
h:1	representative	3338	page-003.jpg	5.6484	atoms\h_1\page-003.jpg\3338.svg
h:1	outlier	1509	page-003.jpg	25.2959	atoms\h_1\page-003.jpg\1509.svg
h:1	outlier	1727	page-003.jpg	21.6397	atoms\h_1\page-003.jpg\1727.svg
h:1	outlier	1947	page-003.jpg	21.3635	atoms\h_1\page-003.jpg\1947.svg
g:1	representative	1705	page-003.jpg	7.6320	atoms\g_1\page-003.jpg\1705.svg
g:1	representative	2438	page-003.jpg	7.6681	atoms\g_1\page-003.jpg\2438.svg
g:1	representative	1382	page-003.jpg	7.6826	atoms\g_1\page-003.jpg\1382.svg
g:1	outlier	1413	page-003.jpg	16.2972	atoms\g_1\page-003.jpg\1413.svg
g:1	outlier	5144	page-004.jpg	11.6892	atoms\g_1\page-004.jpg\5144.svg
g:1	outlier	2493	page-003.jpg	11.2387	atoms\g_1\page-003.jpg\2493.svg
m:1	representative	3899	page-003.jpg	13.1315	atoms\m_1\page-003.jpg\3899.svg
m:1	representative	3900	page-003.jpg	13.1315	atoms\m_1\page-003.jpg\3900.svg
m:1	representative	3031	page-003.jpg	13.1315	atoms\m_1\page-003.jpg\3031.svg
m:1	outlier	3035	page-003.jpg	23.0474	atoms\m_1\page-003.jpg\3035.svg
m:1	outlier	3040	page-003.jpg	22.1460	atoms\m_1\page-003.jpg\3040.svg
